zipCode,AverageAnnualCount,PovertyEst,avgDeathsPerYear,deathRate,incidentRate,medIncome,popEst2020,povertyPercent,studyCount,studyPerCap
10580,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10583,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10588,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10589,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10590,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10591,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,30.0,30.289965843015185
10594,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10595,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,31.0,31.299631371115687
10596,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10597,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10598,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10601,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,10.0,10.096655281005061
10603,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10604,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,85.0,85.82156988854301
10605,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10606,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10607,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10701,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10703,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10704,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,2.0,2.019331056201012
10705,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10706,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10707,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,5.0,5.048327640502531
10708,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,1.0,1.009665528100506
10709,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10710,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10801,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10803,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10804,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10805,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10940,465.0,100921.0,173.0,164.2,447.4,119253.0,79658.0,6.8,15.0,188.30500389163674
10963,465.0,100921.0,173.0,164.2,447.4,119253.0,79658.0,6.8,0.0,0.0
10985,465.0,100921.0,173.0,164.2,447.4,119253.0,79658.0,6.8,0.0,0.0
11701,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11702,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11703,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11704,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11705,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11706,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,3.0,1.9666134588469744
11713,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11715,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11716,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11717,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11718,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,1.0,0.6555378196156582
11719,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11720,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11721,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11722,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11724,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11725,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,92.0,60.309479404640555
11726,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11727,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11729,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11730,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11731,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11733,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,23.0,15.077369851160139
11735,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11738,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11739,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11740,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11741,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11742,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11743,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,2.0,1.3110756392313163
11746,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,1.0,0.6555378196156582
11747,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
