countyCode,AverageAnnualCount,PovertyEst,avgDeathsPerYear,deathRate,incidentRate,medIncome,popEst2020,povertyPercent,studyCount,studyPerCap
37197,234.0,15293,92.0,167.2,437.3,51535.0,37463.0,19.7,0.0,0.0
38101,331.0,1097,91.0,132.0,482.9,67249.0,68870.0,10.7,10.0,145.20110352838682
38103,32.0,6529,13.0,167.7,455.6,72091.0,3930.0,9.8,0.0,0.0
39101,426.0,41912,157.0,179.2,493.0,54774.0,64642.0,19.2,16.0,247.5170941493147
39103,1150.0,10029,345.0,142.9,481.8,59012.0,183512.0,16.9,85.0,463.18496883037625
39105,156.0,12288,65.0,192.1,478.6,89108.0,21969.0,6.8,0.0,0.0
39107,237.0,3969,86.0,155.3,447.9,46393.0,42348.0,18.3,0.0,0.0
39109,655.0,3447,241.0,163.5,465.5,72077.0,110247.0,8.3,80.0,725.6433281631246
39111,105.0,10693,37.0,158.2,494.3999999999999,72887.0,13234.0,9.8,0.0,0.0
39113,3360.0,1823,1237.0,171.5,486.8,56384.0,533892.0,13.9,468.0,876.5817805848374
39115,101.0,74391,41.0,177.5,457.6000000000001,62794.0,13668.0,14.300000000000002,0.0,0.0
39117,204.0,2292,82.0,175.4,431.4,58803.0,35339.0,17.0,140.0,3961.6287953818724
39119,570.0,3783,202.0,174.2,507.4,71835.0,86113.0,10.8,39.0,452.8932913729634
39121,81.0,11524,32.0,128.0,336.2,58791.0,14335.0,13.7,0.0,0.0
39123,336.0,1835,129.0,180.8,496.4,57054.0,39978.0,15.9,38.0,950.5227875331433
39125,114.0,3917,47.0,186.4,444.2,72780.0,18757.0,9.9,4.0,213.25371861171828
39127,225.0,1861,83.0,180.5,484.5,66332.0,35480.0,10.0,39.0,1099.2108229988726
39129,350.0,5445,138.0,195.19999999999996,491.2,60448.0,60023.0,15.5,52.0,866.3345717474967
39131,188.0,5369,75.0,193.0,509.9,75916.0,27005.0,9.6,47.0,1740.418441029439
39133,923.0,5252,338.0,165.4,455.4,55029.0,161745.0,19.7,20.0,123.65142662833472
39135,273.0,19299,108.0,187.6,482.5,72965.0,40596.0,12.4,74.0,1822.839688639275
39137,200.0,4221,63.0,133.4,449.3,67605.0,34334.0,10.5,77.0,2242.6748995165144
39139,793.0,2206,315.0,177.7,475.7,81780.0,125319.0,6.5,77.0,614.4319696135462
39141,507.0,17953,184.0,185.7,507.1000000000001,54906.0,76606.0,15.199999999999998,39.0,509.0985040336266
39143,382.0,9783,146.0,175.1,474.5,60352.0,58667.0,13.7,52.0,886.3586002352259
39145,469.0,6996,200.0,192.5,474.4,62473.0,72194.0,12.1,45.0,623.3204975482727
39147,353.0,15113,132.0,172.5,481.9,48465.0,54632.0,21.8,18.0,329.477229462586
39149,251.0,6258,104.0,164.8,417.5,63221.0,47671.0,12.0,18.0,377.5880514358834
39151,2331.0,4402,912.0,168.0,453.4,72498.0,372657.0,9.3,101.0,271.0267082062057
39153,3181.0,48044,1207.0,163.4,447.8,64557.0,535882.0,13.2,146.0,272.4480389339444
39155,1266.0,66303,497.0,160.6,430.7,66034.0,200643.0,12.6,13.0,64.79169470153457
39157,575.0,31959,232.0,173.3,456.2,54406.0,91937.0,16.2,1.0,10.877013607144022
39159,280.0,10432,88.0,155.4,460.3,59626.0,66898.0,11.5,117.0,1748.931208705791
39161,165.0,3331,67.0,165.5,426.2,104512.0,28769.0,5.2,0.0,0.0
39163,89.0,2634,36.0,211.8,502.0,59377.0,12565.0,9.3,39.0,3103.859928372463
39165,1213.0,2607,372.0,141.7,447.9,51015.0,249778.0,20.9,154.0,616.5474941748272
39167,474.0,13373,159.0,170.0,532.7,104523.0,58901.0,5.5,73.0,1239.367752669734
39169,629.0,8812,238.0,155.0,422.4,59196.0,116559.0,15.3,62.0,531.9194570989799
39171,210.0,11468,95.0,177.9,412.5,70121.0,36652.0,10.2,0.0,0.0
39173,692.0,4368,249.0,163.6,462.7,60983.0,131592.0,12.3,134.0,1018.2989847407136
40101,402.0,1783,176.0,202.4,471.4,60307.0,66354.0,13.5,0.0,0.0
40103,67.0,11939,29.0,175.0,435.1,53035.0,10896.0,19.1,0.0,0.0
40105,70.0,1278,32.0,209.09999999999997,472.30000000000007,61415.0,9483.0,12.0,3.0,316.3555836760519
40107,73.0,1476,40.0,247.6,452.7,54339.0,11134.0,15.7,1.0,89.81498113885397
